0,1,2
cases,date,per_million
2020-01-30,1,0.001
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,1,0.001
2020-02-03,1,0.001
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,2,0.001
2020-03-03,0,0.0
2020-03-04,23,0.017
2020-03-05,2,0.001
2020-03-06,1,0.001
2020-03-07,3,0.002
2020-03-08,5,0.004
2020-03-09,4,0.003
2020-03-10,13,0.009
2020-03-11,6,0.004
2020-03-12,11,0.008
2020-03-13,9,0.006
2020-03-14,20,0.014
2020-03-15,11,0.008
2020-03-16,6,0.004
2020-03-17,23,0.017
2020-03-18,14,0.01
2020-03-19,38,0.027
2020-03-20,50,0.036
2020-03-21,86,0.062
2020-03-22,66,0.047
2020-03-23,103,0.074
2020-03-24,37,0.027
2020-03-25,121,0.087
2020-03-26,70,0.05
2020-03-27,160,0.115
2020-03-28,100,0.072
2020-03-29,37,0.027
2020-03-30,227,0.163
2020-03-31,146,0.105
2020-04-01,601,0.431
2020-04-02,545,0.391
2020-04-03,24,0.017
2020-04-04,515,0.37
2020-04-05,506,0.363
2020-04-06,1190,0.854
2020-04-07,533,0.383
2020-04-08,605,0.434
2020-04-09,809,0.581
2020-04-10,873,0.627
2020-04-11,848,0.609
2020-04-12,759,0.545
2020-04-13,1248,0.896
2020-04-14,1034,0.742
2020-04-15,835,0.599
2020-04-16,1108,0.795
2020-04-17,922,0.662
2020-04-18,1370,0.983
2020-04-19,1893,1.359
2020-04-20,924,0.663
2020-04-21,1541,1.106
2020-04-22,1290,0.926
2020-04-23,1707,1.225
2020-04-24,1453,1.043
2020-04-25,1753,1.258
2020-04-26,1607,1.153
2020-04-27,1561,1.12
2020-04-28,1873,1.344
2020-04-29,1738,1.247
2020-04-30,1801,1.293
2020-05-01,2394,1.718
2020-05-02,2442,1.753
2020-05-03,2806,2.014
2020-05-04,3932,2.822
2020-05-05,2963,2.126
2020-05-06,3587,2.574
2020-05-07,3364,2.414
2020-05-08,3344,2.4
2020-05-09,3113,2.234
2020-05-10,4353,3.124
2020-05-11,3607,2.589
2020-05-12,3524,2.529
2020-05-13,3763,2.701
2020-05-14,3942,2.829
2020-05-15,3787,2.718
2020-05-16,4864,3.491
2020-05-17,5050,3.624
2020-05-18,4630,3.323
2020-05-19,6147,4.411
2020-05-20,5553,3.985
2020-05-21,6198,4.448
2020-05-22,6568,4.714
2020-05-23,6629,4.757
2020-05-24,7113,5.105
2020-05-25,6414,4.603
2020-05-26,5843,4.193
2020-05-27,7293,5.234
2020-05-28,7300,5.239
2020-05-29,8105,5.817
2020-05-30,8336,5.982
2020-05-31,8782,6.303
2020-06-01,7761,5.57
2020-06-02,8821,6.331
2020-06-03,9633,6.913
2020-06-04,9889,7.097
2020-06-05,9471,6.797
2020-06-06,10438,7.491
2020-06-07,10864,7.797
2020-06-08,8442,6.059
2020-06-09,10218,7.333
2020-06-10,10459,7.506
2020-06-11,10930,7.844
2020-06-12,11458,8.223
2020-06-13,11929,8.561
2020-06-14,11502,8.255
2020-06-15,10667,7.655
2020-06-16,10974,7.876
2020-06-17,12881,9.244
2020-06-18,13586,9.75
2020-06-19,14516,10.418
2020-06-20,15403,11.054
2020-06-21,14831,10.644
2020-06-22,14933,10.717
2020-06-23,15968,11.46
2020-06-24,16922,12.144
2020-06-25,17296,12.413
2020-06-26,18552,13.314
2020-06-27,19906,14.286
2020-06-28,19459,13.965
2020-06-29,18522,13.293
2020-06-30,18641,13.378
2020-07-01,19160,13.75
2020-07-02,20903,15.001
2020-07-03,22771,16.342
2020-07-04,24850,17.834
2020-07-05,24248,17.402
2020-07-06,22251,15.969
2020-07-07,22753,16.329
2020-07-08,24879,17.855
2020-07-09,26506,19.022
2020-07-10,27114,19.459
2020-07-11,28606,20.53
2020-07-12,28732,20.62
2020-07-13,28498,20.452
2020-07-14,29429,21.12
2020-07-15,32676,23.45
2020-07-16,34975,25.1
2020-07-17,35252,25.299
2020-07-18,38697,27.771
2020-07-19,40425,29.012
2020-07-20,37132,26.648
2020-07-21,37740,27.085
2020-07-22,45720,32.812
2020-07-23,49310,35.388
2020-07-24,48916,35.105
2020-07-25,48611,34.886
2020-07-26,49981,35.87
2020-07-27,44457,31.905
2020-07-28,51596,37.029
2020-07-29,50294,36.094
2020-07-30,52783,37.88
2020-07-31,61242,43.951
2020-08-01,54735,39.281
2020-08-02,52972,38.016
2020-08-03,52050,37.354
2020-08-04,52509,37.684
2020-08-05,56282,40.392
2020-08-06,62538,44.881
2020-08-07,61537,44.163
2020-08-08,64399,46.217
2020-08-09,62064,44.541
2020-08-10,53601,38.468
2020-08-11,60963,43.751
2020-08-12,66999,48.083
2020-08-13,64553,46.327
2020-08-14,64732,46.456
2020-08-15,64030,45.952
2020-08-16,57711,41.417
2020-08-17,55018,39.484
2020-08-18,64572,46.341
2020-08-19,69672,50.001
2020-08-20,68900,49.447
2020-08-21,69876,50.148
2020-08-22,69239,49.69
2020-08-23,61408,44.07
2020-08-24,60975,43.76
2020-08-25,57224,41.068
2020-08-26,85687,61.495
2020-08-27,77266,55.451
2020-08-28,76472,54.881
2020-08-29,78761,56.524
2020-08-30,78512,56.345
2020-08-31,69921,50.18
2020-09-01,78357,56.234
2020-09-02,83883,60.2
2020-09-03,83341,59.811
2020-09-04,86432,62.029
2020-09-05,90632,65.043
2020-09-06,90802,65.165
2020-09-07,75809,54.405
2020-09-08,89706,64.379
2020-09-09,95735,68.706
2020-09-10,96551,69.291
2020-09-11,97570,70.023
2020-09-12,94372,67.727
2020-09-13,92071,66.076
2020-09-14,83809,60.147
2020-09-15,90123,64.678
2020-09-16,97894,70.255
2020-09-17,96424,69.2
2020-09-18,93337,66.985
2020-09-19,92605,66.459
2020-09-20,86961,62.409
2020-09-21,75083,53.884
2020-09-22,83347,59.815
2020-09-23,86508,62.084
2020-09-24,86052,61.756
2020-09-25,85362,61.261
2020-09-26,88600,63.585
2020-09-27,82170,58.97
2020-09-28,70589,50.659
2020-09-29,80472,57.752
2020-09-30,86821,62.308
2020-10-01,81484,58.478
2020-10-02,79476,57.037
2020-10-03,75829,54.42
2020-10-04,74442,53.424
2020-10-05,61267,43.969
2020-10-06,72049,51.707
2020-10-07,78524,56.354
2020-10-08,70496,50.592
2020-10-09,73272,52.585
2020-10-10,74383,53.382
2020-10-11,66732,47.891
2020-10-12,55342,39.717
2020-10-13,63509,45.578
2020-10-14,67708,48.592
2020-10-15,63371,45.479
2020-10-16,62212,44.647
2020-10-17,61871,44.403
2020-10-18,55722,39.99
2020-10-19,46790,33.58
